shot_num,quarter,game_clock,time_elapsed_s,shot_clock,shooter_name,shooter_team,shooter_player_id,shot_type,zone,shot_quality,nearest_def_dist,ball_x,ball_y,ball_z_at_release,shooter_x,shooter_y
111,3,Q3 3:21.75,1958.25,5.54,David Lee,BOS,101135,2pt_jump_shot,low_paint,8.7655,4.459,11.814,20.768,11.021,10.487,20.916
112,3,Q3 3:13.09,1966.91,16.84,Brook Lopez,BKN,201572,2pt_jump_shot,low_paint,7.4006,2.207,88.464,20.88,10.58,87.352,21.7
113,3,Q3 2:50.25,1989.75,4.83,Kelly Olynyk,BOS,203482,2pt_jump_shot,baseline_2,2.9868,4.481,3.788,37.482,11.96,3.826,36.625
114,3,Q3 2:43.16,1996.84,18.57,Willie Reed,BKN,203186,2pt_jump_shot,baseline_2,3.3,14.619,83.536,33.0,14.34,84.338,33.785
115,3,Q3 2:26.14,2013.86,16.68,Willie Reed,BKN,203186,layup,low_paint,7.6651,2.643,85.153,26.182,12.92,86.169,25.209
116,3,Q3 2:25.05,2014.95,24.0,Willie Reed,BKN,203186,layup,low_paint,7.7626,2.804,87.379,25.146,10.535,87.427,24.374
117,3,Q3 2:09.49,2030.51,9.63,James Young,BOS,203923,2pt_jump_shot,baseline_2,3.1657,5.349,3.866,44.094,11.872,3.872,43.028
118,3,Q3 2:07.21,2032.79,24.0,David Lee,BOS,101135,dunk,low_paint,7.3245,2.082,5.721,25.223,10.049,5.598,23.769
119,3,Q3 1:54.00,2046.0,14.11,Andrea Bargnani,BKN,200745,layup,low_paint,7.275,1.113,87.154,25.315,11.707,87.784,26.535
120,3,Q3 1:36.91,2063.09,10.0,David Lee,BOS,101135,layup,low_paint,7.275,0.952,5.812,28.803,11.549,6.924,28.903
121,3,Q3 1:22.41,2077.59,12.45,Andrea Bargnani,BKN,200745,layup,low_paint,7.275,1.655,87.797,28.295,11.48,87.441,27.26
122,3,Q3 0:58.62,2101.38,18.67,Andrea Bargnani,BKN,200745,2pt_jump_shot,low_paint,9.7,10.505,79.721,27.506,14.332,80.816,28.203
123,3,Q3 0:06.21,2153.79,3.67,Jonas Jerebko,BOS,201973,2pt_jump_shot,straight_up_2,3.7334,4.933,26.778,22.624,12.262,26.288,21.642
124,4,Q4 11:27.74,2192.26,7.96,Marcus Smart,BOS,203935,3pt_jump_shot,wing_3,4.5,6.698,67.441,38.014,7.396,67.654,38.37
125,4,Q4 11:09.44,2210.56,8.51,Shane Larkin,BKN,203499,2pt_jump_shot,high_paint,3.3529,3.756,14.741,17.877,7.177,15.027,17.926
126,4,Q4 10:56.66,2223.34,12.77,Marcus Smart,BOS,203935,layup,low_paint,8.3227,3.728,86.64,22.402,7.165,85.87,23.165
127,4,Q4 10:35.29,2244.71,6.61,Wayne Ellington,BKN,201961,3pt_jump_shot,wing_3,4.403,5.655,20.253,6.245,7.257,20.466,6.037
128,4,Q4 10:21.96,2258.04,13.36,Jonas Jerebko,BOS,201973,3pt_jump_shot,wing_3,4.5,9.359,69.722,39.538,7.107,69.338,39.935
129,4,Q4 9:51.26,2288.74,4.07,Joe Johnson,BKN,2207,2pt_jump_shot,wing_2,0.9311,4.897,19.282,35.31,7.399,19.455,34.411
130,4,Q4 9:39.33,2300.67,15.9,Marcus Smart,BOS,203935,2pt_jump_shot,low_paint,7.275,0.557,86.989,29.035,7.969,87.72,28.334
131,4,Q4 9:04.19,2335.81,6.64,Evan Turner,BOS,202323,layup,low_paint,7.275,1.514,85.894,24.005,7.031,85.374,24.546
132,4,Q4 9:03.75,2336.25,6.2,Evan Turner,BOS,202323,layup,low_paint,7.275,1.552,87.856,23.563,10.829,88.791,23.537
133,4,Q4 9:03.00,2337.0,24.0,Evan Turner,BOS,202323,2pt_jump_shot,straight_up_2,4.0,10.584,74.968,25.005,7.265,74.624,24.951
